date,transactions
2013-01-01,770.0
2013-01-02,93215.0
2013-01-03,78504.0
2013-01-04,78494.0
2013-01-05,93573.0
2013-01-06,90464.0
2013-01-07,75597.0
2013-01-08,72325.0
2013-01-09,71971.0
2013-01-10,66383.0
2013-01-11,70338.0
2013-01-12,85511.0
2013-01-13,86306.0
2013-01-14,70078.0
2013-01-15,71134.0
2013-01-16,72471.0
2013-01-17,68873.0
2013-01-18,71371.0
2013-01-19,88558.0
2013-01-20,85281.0
2013-01-21,73250.0
2013-01-22,68988.0
2013-01-23,69819.0
2013-01-24,63705.0
2013-01-25,71273.0
2013-01-26,88022.0
2013-01-27,83304.0
2013-01-28,70389.0
2013-01-29,68435.0
2013-01-30,70888.0
2013-01-31,70268.0
2013-02-01,78302.0
2013-02-02,97347.0
2013-02-03,87026.0
2013-02-04,75330.0
2013-02-05,76206.0
2013-02-06,75291.0
2013-02-07,72789.0
2013-02-08,79726.0
2013-02-09,90342.0
2013-02-10,69963.0
2013-02-11,67222.0
2013-02-12,71808.0
2013-02-13,80098.0
2013-02-14,88681.0
2013-02-15,75789.0
2013-02-16,92816.0
2013-02-17,77449.0
2013-02-18,76437.0
2013-02-19,70645.0
2013-02-20,73812.0
2013-02-21,68246.0
2013-02-22,70914.0
2013-02-23,88390.0
2013-02-24,84125.0
2013-02-25,72167.0
2013-02-26,68706.0
2013-02-27,70170.0
2013-02-28,69818.0
2013-03-01,79524.0
2013-03-02,98616.0
2013-03-03,92716.0
2013-03-04,79078.0
2013-03-05,75134.0
2013-03-06,76519.0
2013-03-07,73910.0
2013-03-08,78231.0
2013-03-09,92462.0
2013-03-10,86322.0
2013-03-11,75161.0
2013-03-12,69346.0
2013-03-13,72010.0
2013-03-14,67393.0
2013-03-15,75533.0
2013-03-16,91900.0
2013-03-17,89346.0
2013-03-18,74418.0
2013-03-19,71841.0
2013-03-20,74145.0
2013-03-21,69157.0
2013-03-22,71990.0
2013-03-23,91923.0
2013-03-24,83439.0
2013-03-25,72992.0
2013-03-26,68469.0
2013-03-27,74049.0
2013-03-28,82104.0
2013-03-29,77781.0
2013-03-30,90611.0
2013-03-31,82563.0
2013-04-01,81678.0
2013-04-02,77165.0
2013-04-03,78534.0
2013-04-04,72217.0
2013-04-05,74928.0
2013-04-06,94844.0
2013-04-07,89183.0
2013-04-08,75161.0
