date,transactions
2016-09-13,81063.0
2016-09-14,81405.0
2016-09-15,75159.0
2016-09-16,82021.0
2016-09-17,91798.0
2016-09-18,87188.0
2016-09-19,80624.0
2016-09-20,78531.0
2016-09-21,78434.0
2016-09-22,73746.0
2016-09-23,79541.0
2016-09-24,87841.0
2016-09-25,83646.0
2016-09-26,75798.0
2016-09-27,75043.0
2016-09-28,80262.0
2016-09-29,80863.0
2016-09-30,88068.0
2016-10-01,99611.0
2016-10-02,93135.0
2016-10-03,83275.0
2016-10-04,83504.0
2016-10-05,79719.0
2016-10-06,75262.0
2016-10-07,79604.0
2016-10-08,94115.0
2016-10-09,91610.0
2016-10-10,77125.0
2016-10-11,81063.0
2016-10-12,81405.0
2016-10-13,75159.0
2016-10-14,82021.0
2016-10-15,91798.0
2016-10-16,87188.0
2016-10-17,80624.0
2016-10-18,78531.0
2016-10-19,78434.0
2016-10-20,73746.0
2016-10-21,79541.0
2016-10-22,87841.0
2016-10-23,83646.0
2016-10-24,75798.0
2016-10-25,75043.0
2016-10-26,80262.0
2016-10-27,80863.0
2016-10-28,88068.0
2016-10-29,99611.0
2016-10-30,93135.0
2016-10-31,83275.0
2016-11-01,83504.0
2016-11-02,79719.0
2016-11-03,75262.0
2016-11-04,79604.0
2016-11-05,94115.0
2016-11-06,91610.0
2016-11-07,77125.0
2016-11-08,81063.0
2016-11-09,81405.0
2016-11-10,75159.0
2016-11-11,82021.0
2016-11-12,91798.0
2016-11-13,87188.0
2016-11-14,80624.0
2016-11-15,78531.0
2016-11-16,78434.0
2016-11-17,73746.0
2016-11-18,79541.0
2016-11-19,87841.0
2016-11-20,83646.0
2016-11-21,75798.0
2016-11-22,75043.0
2016-11-23,80262.0
2016-11-24,80863.0
2016-11-25,88068.0
2016-11-26,99611.0
2016-11-27,93135.0
2016-11-28,83275.0
2016-11-29,83504.0
2016-11-30,79719.0
2016-12-01,75262.0
2016-12-02,79604.0
2016-12-03,94115.0
2016-12-04,91610.0
2016-12-05,77125.0
2016-12-06,81063.0
2016-12-07,81405.0
2016-12-08,75159.0
2016-12-09,82021.0
2016-12-10,91798.0
2016-12-11,87188.0
2016-12-12,80624.0
2016-12-13,78531.0
2016-12-14,78434.0
2016-12-15,73746.0
2016-12-16,79541.0
2016-12-17,87841.0
2016-12-18,83646.0
2016-12-19,75798.0
2016-12-20,75043.0
2016-12-21,80262.0
2016-12-22,80863.0
2016-12-23,88068.0
2016-12-24,99611.0
2016-12-25,93135.0
2016-12-26,83275.0
2016-12-27,83504.0
2016-12-28,79719.0
2016-12-29,75262.0
2016-12-30,79604.0
2016-12-31,94115.0
2017-01-01,91610.0
2017-01-02,77125.0
2017-01-03,81063.0
2017-01-04,81405.0
2017-01-05,75159.0
2017-01-06,82021.0
2017-01-07,91798.0
2017-01-08,87188.0
2017-01-09,80624.0
2017-01-10,78531.0
2017-01-11,78434.0
2017-01-12,73746.0
2017-01-13,79541.0
2017-01-14,87841.0
2017-01-15,83646.0
2017-01-16,75798.0
2017-01-17,75043.0
2017-01-18,80262.0
2017-01-19,80863.0
2017-01-20,88068.0
2017-01-21,99611.0
2017-01-22,93135.0
2017-01-23,83275.0
2017-01-24,83504.0
2017-01-25,79719.0
2017-01-26,75262.0
2017-01-27,79604.0
2017-01-28,94115.0
2017-01-29,91610.0
2017-01-30,77125.0
2017-01-31,81063.0
2017-02-01,81405.0
2017-02-02,75159.0
2017-02-03,82021.0
2017-02-04,91798.0
2017-02-05,87188.0
2017-02-06,80624.0
2017-02-07,78531.0
2017-02-08,78434.0
2017-02-09,73746.0
2017-02-10,79541.0
2017-02-11,87841.0
2017-02-12,83646.0
2017-02-13,75798.0
2017-02-14,75043.0
2017-02-15,80262.0
2017-02-16,80863.0
2017-02-17,88068.0
2017-02-18,99611.0
2017-02-19,93135.0
2017-02-20,83275.0
2017-02-21,83504.0
2017-02-22,79719.0
2017-02-23,75262.0
2017-02-24,79604.0
2017-02-25,94115.0
2017-02-26,91610.0
2017-02-27,77125.0
2017-02-28,81063.0
2017-03-01,81405.0
2017-03-02,75159.0
2017-03-03,82021.0
2017-03-04,91798.0
2017-03-05,87188.0
2017-03-06,80624.0
2017-03-07,78531.0
2017-03-08,78434.0
2017-03-09,73746.0
2017-03-10,79541.0
2017-03-11,87841.0
2017-03-12,83646.0
2017-03-13,75798.0
2017-03-14,75043.0
2017-03-15,80262.0
2017-03-16,80863.0
2017-03-17,88068.0
2017-03-18,99611.0
2017-03-19,93135.0
2017-03-20,83275.0
2017-03-21,83504.0
2017-03-22,79719.0
2017-03-23,75262.0
2017-03-24,79604.0
2017-03-25,94115.0
2017-03-26,91610.0
2017-03-27,77125.0
2017-03-28,81063.0
2017-03-29,81405.0
2017-03-30,75159.0
2017-03-31,82021.0
2017-04-01,91798.0
2017-04-02,87188.0
2017-04-03,80624.0
2017-04-04,78531.0
2017-04-05,78434.0
2017-04-06,73746.0
2017-04-07,79541.0
2017-04-08,87841.0
2017-04-09,83646.0
2017-04-10,75798.0
2017-04-11,75043.0
2017-04-12,80262.0
2017-04-13,80863.0
2017-04-14,88068.0
2017-04-15,99611.0
2017-04-16,93135.0
2017-04-17,83275.0
2017-04-18,83504.0
2017-04-19,79719.0
2017-04-20,75262.0
2017-04-21,79604.0
2017-04-22,94115.0
2017-04-23,91610.0
2017-04-24,77125.0
2017-04-25,81063.0
2017-04-26,81405.0
2017-04-27,75159.0
2017-04-28,82021.0
2017-04-29,91798.0
2017-04-30,87188.0
2017-05-01,80624.0
2017-05-02,78531.0
2017-05-03,78434.0
2017-05-04,73746.0
2017-05-05,79541.0
2017-05-06,87841.0
2017-05-07,83646.0
2017-05-08,75798.0
2017-05-09,75043.0
