date,transactions
2016-09-13,78549.14936546105
2016-09-14,78545.88508435106
2016-09-15,75640.9333407759
2016-09-16,80669.05724766843
2016-09-17,89901.66794973714
2016-09-18,87573.34342958555
2016-09-19,79376.54284196888
2016-09-20,79128.34555193648
2016-09-21,80225.97315657548
2016-09-22,78659.49236203433
2016-09-23,82265.7730737445
2016-09-24,88321.68814168495
2016-09-25,86510.43821778146
2016-09-26,81164.11376029634
2016-09-27,80729.9795005811
2016-09-28,81571.86262875263
2016-09-29,80867.26076379168
2016-09-30,83316.22577309284
2016-10-01,87095.99626642469
2016-10-02,85750.3808446294
2016-10-03,82101.49744133337
2016-10-04,81662.46276447884
2016-10-05,82252.91539830167
2016-10-06,81985.55011682956
2016-10-07,83633.71124590813
2016-10-08,85968.09585213735
2016-10-09,84969.03587360811
2016-10-10,82483.38756806977
2016-10-11,82109.48761793133
2016-10-12,82541.28375891675
2016-10-13,82508.49131666799
2016-10-14,83625.63239241386
2016-10-15,85070.71604765907
2016-10-16,84342.69191302557
2016-10-17,82663.35641385423
2016-10-18,82380.1621489184
2016-10-19,82710.19182565845
2016-10-20,82793.91350563982
2016-10-21,83557.13939980767
2016-10-22,84452.2497852073
2016-10-23,83928.41527600118
2016-10-24,82799.63464034747
2016-10-25,82598.31376408934
2016-10-26,82853.72431270612
2016-10-27,82981.32128923664
2016-10-28,83502.42197658078
2016-10-29,84053.2941507877
2016-10-30,83676.83584211156
2016-10-31,82918.69430764076
2016-11-01,82779.81824330761
2016-11-02,82975.74782882305
2016-11-03,83107.10063534632
2016-11-04,83460.42250783069
2016-11-05,83795.0253746472
2016-11-06,83523.5638481136
2016-11-07,83013.79657977275
2016-11-08,82919.75337457418
2016-11-09,83068.19519137284
2016-11-10,83185.0892972672
2016-11-11,83422.69080105255
2016-11-12,83622.44091464583
2016-11-13,83426.34457041076
2016-11-14,83083.42391725439
2016-11-15,83021.04449087419
2016-11-16,83132.54931560127
2016-11-17,83229.1974257053
2016-11-18,83387.88105366734
2016-11-19,83504.69486128478
2016-11-20,83363.23671202379
2016-11-21,83132.7871623755
2016-11-22,83092.52846993433
2016-11-23,83175.86735694359
2016-11-24,83252.3837254628
2016-11-25,83357.75758934705
2016-11-26,83424.32512912236
2016-11-27,83322.61382404115
2016-11-28,83168.06434421721
2016-11-29,83142.95447513963
2016-11-30,83204.99371184732
2016-12-01,83263.82140563746
2016-12-02,83333.39340350757
2016-12-03,83369.97647531849
2016-12-04,83297.10987728473
2016-12-05,83193.71477264102
2016-12-06,83178.69631418807
2016-12-07,83224.6739390991
2016-12-08,83268.91175104739
2016-12-09,83314.53711830298
2016-12-10,83333.53692235696
2016-12-11,83281.5118163931
2016-12-12,83212.51469498657
2016-12-13,83204.0162093735
2016-12-14,83237.91834073928
2016-12-15,83270.59795905369
2016-12-16,83300.27871408279
2016-12-17,83309.2100335999
2016-12-18,83272.1841872724
2016-12-19,83226.2653990431
2016-12-20,83221.84718374367
2016-12-21,83246.71490478923
2016-12-22,83270.50437378825
2016-12-23,83289.63193741572
2016-12-24,83292.99739603602
2016-12-25,83266.73189990976
2016-12-26,83236.26503234221
2016-12-27,83234.31024836833
2016-12-28,83252.45929389258
2016-12-29,83269.56524745133
2016-12-30,83281.7589296136
2016-12-31,83282.21223936838
2017-01-01,83263.64343178592
2017-01-02,83243.49996471545
2017-01-03,83242.9647749078
2017-01-04,83256.14739842169
2017-01-05,83268.3184336579
2017-01-06,83275.99377762302
2017-01-07,83275.06121609572
2017-01-08,83261.98035080393
2017-01-09,83248.71628175705
2017-01-10,83248.94388372928
2017-01-11,83258.47573042291
2017-01-12,83267.05522852723
2017-01-13,83271.81305423332
2017-01-14,83270.34190015128
2017-01-15,83261.16054327397
2017-01-16,83252.46673210399
2017-01-17,83253.05627888793
2017-01-18,83259.91815747262
2017-01-19,83265.91488697665
2017-01-20,83268.80818415731
2017-01-21,83267.24440322546
2017-01-22,83260.82377630431
2017-01-23,83255.15532041484
2017-01-24,83255.87204495771
2017-01-25,83260.79069475632
2017-01-26,83264.94912073277
2017-01-27,83266.66513623337
2017-01-28,83265.22343137031
2017-01-29,83260.75008170682
2017-01-30,83257.07621443932
2017-01-31,83257.79070684634
2017-02-01,83261.30167993702
2017-02-02,83264.16364409213
2017-02-03,83265.14709626367
2017-02-04,83263.91337819997
2017-02-05,83260.80845469405
2017-02-06,83258.4436371581
2017-02-07,83259.0913972434
2017-02-08,83261.58730542974
2017-02-09,83263.54259531113
2017-02-10,83264.07844218561
2017-02-11,83263.07039654875
2017-02-12,83260.92355220276
2017-02-13,83259.41346953584
2017-02-14,83259.9684752269
2017-02-15,83261.73567721288
2017-02-16,83263.06184532872
2017-02-17,83263.33055893955
2017-02-18,83262.5326178504
2017-02-19,83261.05404495056
2017-02-20,83260.09880473482
2017-02-21,83260.55665536005
2017-02-22,83261.80297698689
2017-02-23,83262.69585621299
2017-02-24,83262.81013641364
2017-02-25,83262.19304675193
2017-02-26,83261.17883065739
2017-02-27,83260.58135016976
2017-02-28,83260.94882353977
2017-03-01,83261.82437505873
2017-03-02,83262.42099041524
2017-03-03,83262.45000284634
2017-03-04,83261.98127232541
2017-03-05,83261.28847312658
2017-03-06,83260.91988331435
2017-03-07,83261.20868941469
2017-03-08,83261.82139743539
2017-03-09,83262.21688526298
2017-03-10,83262.20214779334
2017-03-11,83261.85119972497
2017-03-12,83261.38000033243
2017-03-13,83261.1565177834
2017-03-14,83261.37973201409
2017-03-15,83261.80685213994
2017-03-16,83262.06678157012
2017-03-17,83262.03248970257
2017-03-18,83261.77283939352
2017-03-19,83261.45380426254
2017-03-20,83261.32131487844
2017-03-21,83261.49147851457
2017-03-22,83261.78807572249
2017-03-23,83261.95731691367
2017-03-24,83261.91699077221
2017-03-25,83261.72682049582
2017-03-26,83261.51183662284
2017-03-27,83261.4356539514
2017-03-28,83261.56388083391
2017-03-29,83261.76904034661
2017-03-30,83261.87808306122
2017-03-31,83261.83879962694
2017-04-01,83261.70073480779
2017-04-02,83261.55659595341
2017-04-03,83261.51468330371
2017-04-04,83261.61034970969
2017-04-05,83261.75170142791
2017-04-06,83261.82111700499
2017-04-07,83261.78617026025
2017-04-08,83261.68671066151
2017-04-09,83261.59059147499
2017-04-10,83261.56909582805
2017-04-11,83261.63984861867
2017-04-12,83261.73684639588
2017-04-13,83261.78041322788
2017-04-14,83261.75096015239
2017-04-15,83261.67981140834
2017-04-16,83261.6160873083
2017-04-17,83261.60641090819
2017-04-18,83261.65833258448
2017-04-19,83261.72461953547
2017-04-20,83261.75149590356
2017-04-21,83261.72755506125
2017-04-22,83261.67698412441
2017-04-23,83261.63500553736
2017-04-24,83261.63189632841
2017-04-25,83261.6697322753
2017-04-26,83261.71483891402
2017-04-27,83261.73106273139
2017-04-28,83261.71210464291
2017-04-29,83261.67637367512
2017-04-30,83261.6489143348
2017-05-01,83261.64922857698
2017-05-02,83261.67662378776
2017-05-03,83261.70718171001
2017-05-04,83261.71669849924
2017-05-05,83261.70198245434
2017-05-06,83261.67687815838
2017-05-07,83261.65905759942
2017-05-08,83261.66096382606
2017-05-09,83261.68068217754
2017-05-10,83261.70128773272
2017-05-11,83261.70665041731
2017-05-12,83261.69540671431
2017-05-13,83261.67786300136
2017-05-14,83261.66640132401
2017-05-15,83261.66887251532
2017-05-16,83261.68298694213
2017-05-17,83261.69681324283
2017-05-18,83261.69965525543
2017-05-19,83261.69117546987
2017-05-20,83261.67897874836
2017-05-21,83261.67168328672
2017-05-22,83261.67417610568
2017-05-23,83261.6842266598
2017-05-24,83261.69345547503
2017-05-25,83261.69480836463
2017-05-26,83261.68848267183
2017-05-27,83261.6800461777
2017-05-28,83261.67545937626
2017-05-29,83261.67771396044
2017-05-30,83261.68483528224
2017-05-31,83261.69096059092
2017-06-01,83261.69146567862
2017-06-02,83261.6867911272
2017-06-03,83261.68098480446
2017-06-04,83261.6781437083
2017-06-05,83261.68006052225
2017-06-06,83261.68508234335
2017-06-07,83261.68912283276
2017-06-08,83261.68917116523
2017-06-09,83261.68574520538
2017-06-10,83261.68176909335
2017-06-11,83261.68004179979
2017-06-12,83261.68160727344
2017-06-13,83261.6851322605
2017-06-14,83261.68777949289
2017-06-15,83261.68760360655
2017-06-16,83261.68511117666
2017-06-17,83261.68240218569
2017-06-18,83261.68137714278
2017-06-19,83261.68261984226
2017-06-20,83261.6850830258
2017-06-21,83261.68680433929
2017-06-22,83261.68653787073
2017-06-23,83261.68473665514
2017-06-24,83261.68290055869
2017-06-25,83261.6823119971
2017-06-26,83261.6832776374
2017-06-27,83261.68499123704
2017-06-28,83261.68610092532
2017-06-29,83261.68581693046
2017-06-30,83261.68452318042
2017-07-01,83261.68328540452
2017-07-02,83261.68296336656
2017-07-03,83261.6837012484
2017-07-04,83261.68488813614
2017-07-05,83261.68559648728
2017-07-06,83261.68533177744
2017-07-07,83261.68440778754
2017-07-08,83261.6835780603
2017-07-09,83261.68341509636
2017-07-10,83261.68397131274
2017-07-11,83261.68478977052
2017-07-12,83261.68523671344
2017-07-13,83261.68500709116
2017-07-14,83261.68435069367
